flight,time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,date,time_day,route
18,96.5,3,129,22.83364868,23.51339531,-79.78151124,40.45949109,367.3621358,-0.006542261,0.012020162,-0.439153254,0.898308039,0.491386906,3.956043162,0.111408303,-0.084780924,0.016474066,0.024190007,-0.104663735,-0.147437872,-9.452148648,4,250,100,6/24/2019,Manana,R3
19,39,4.599999905,194,21.81698418,24.48351097,-79.78283353,40.4588881,319.8189138,-0.07154993,0.072412916,-0.455804318,0.884239435,0.387822271,1.418209453,1.008772757,-0.012783425,-0.198711976,0.013200683,0.545201368,-0.76885236,-10.09200186,8,0,50,6/24/2019,Manana,R3
20,115.5,1.200000048,184,23.51351166,0.151083708,-79.78273275,40.45894679,265.8373122,0.004887536,-0.010705183,0.146837056,0.989090681,-0.055896083,0.051461628,-0.147497698,-0.002923536,-0.005353848,-0.016822482,0.108917858,0.182303229,-9.810851355,10,250,25,6/25/2019,Manana,R3
21,19.01,0.800000012,297,23.01644897,15.09246731,-79.78275596,40.45893649,266.5584705,0.009739344,-0.005521269,0.44643864,0.894744277,-0.006431561,-0.003852557,0.019671572,-0.008879686,-0.035495955,-0.015422645,0.096257156,0.290513921,-9.792612135,6,0,50,6/25/2019,Noche,R3
22,93.2,8.300000191,242,23.20175171,18.32883835,-79.78237381,40.45797577,342.7602696,0.00315837,0.199197024,0.948362589,0.246817797,-0.082900534,0.959736273,-2.063804463,-0.05713946,0.194029346,-0.010981286,-0.357452535,-0.657913941,-9.837179028,10,500,75,6/25/2019,Noche,R3
23,96.6,11.80000019,257,22.4943428,17.70064926,-79.7816739,40.45905588,368.3962202,-0.070862949,-0.066439755,0.960578799,0.260485411,-0.57585251,5.750051831,0.799181217,0.125741929,0.118608199,0.024759572,-1.754854082,-1.216338896,-9.667931371,6,250,100,6/25/2019,Noche,R4
24,20.6,2.400000095,121,21.89335823,27.04398346,-79.78286119,40.45888188,266.0135223,0.00337841,-0.00500549,0.999471664,0.031937666,0.038464795,0.008443928,0.094620181,0.137265682,-0.006231322,-0.013080208,0.018501562,0.143716923,-9.235282436,8,0,25,6/25/2019,Noche,R4
25,149.6,8.399999619,339,23.08405876,20.52352905,-79.78250108,40.45827295,342.499133,-0.040830143,-0.046327386,0.153788239,0.986172318,-0.31445894,3.994875438,0.767474819,0.121005483,-0.016333533,-0.071562141,-0.70027965,0.689584946,-11.28617169,4,250,75,6/25/2019,Manana,R4
26,37.8,8.300000191,288,21.53777695,34.94804764,-79.78287202,40.45892535,324.7048987,-0.008833149,-0.046027791,0.755262017,0.653745234,0.199901367,-0.175577478,3.314074862,-0.121290863,-0.125629008,0.189659804,-0.908231854,0.325083702,-9.441416668,4,500,100,6/25/2019,Manana,R4
27,96.2,7.199999809,337,23.17170334,27.02012825,-79.78238695,40.45804561,317.598059,-0.142481089,-0.094975576,0.143865049,0.974669993,0.038785445,5.082959993,1.586723699,0.148987785,0.083584018,-0.200589806,-1.025569685,1.435552254,-9.413887392,8,250,50,6/25/2019,Manana,R4
28,51.39,8,260,22.68089867,26.17724037,-79.78283943,40.45889129,364.0045415,-0.025975499,-0.048186757,0.884735346,0.462868005,0.07607015,-0.44264516,3.032188039,-0.003765084,0.008654951,0.099052288,-1.164963359,-0.162947977,-9.752490295,8,0,100,6/25/2019,Manana,R4
29,64.31,2.5,47,21.51148415,29.73963356,-79.7813701,40.45955754,342.5639523,0.148119435,-0.077462062,-0.50927639,0.84421438,-0.320902996,5.88770465,-1.725669113,0.024680054,0.113054089,-0.021115193,0.462571293,0.174731962,-11.54074543,12,500,75,6/25/2019,Manana,R4
30,72,11.39999962,228,23.92794037,17.99486351,-79.78179669,40.45886478,319.0065852,-0.040504493,-0.088337049,0.964952111,0.243769184,-0.57986766,8.916253427,1.575204596,-0.010411163,-0.132278681,0.150502339,-1.332746654,-0.109453993,-9.951737677,10,500,50,6/25/2019,Manana,R5
31,135.11,8.899999619,257,22.74600601,17.77221489,-79.78209987,40.45841137,371.1779693,-0.068223752,-0.051029988,0.970152497,0.227036715,-0.271028068,3.961944578,0.461227652,-0.205392614,-0.132173538,-0.008044458,-0.910909368,-1.062091906,-9.772454444,4,0,100,6/25/2019,Manana,R5
